dropout,split,well,model,RMSE,MAE,R2,NSE
0.3,selection,岩溶水1,LSTM,0.7641178052578425,0.3726590793177721,0.9040794051780269,0.9040794051780269
0.3,selection,岩溶水1,Transformer,0.7653545969268802,0.3856043875127862,0.9037686420958273,0.9037686420958273
0.3,selection,岩溶水1,TCN,0.7902239254644112,0.44072426815010934,0.897413178697077,0.897413178697077
0.3,selection,岩溶水1,Stacking,0.7938511425400152,0.4170782668819657,0.8964692470868684,0.8964692470868684
0.3,selection,岩溶水2,Persistence,0.17737719511081998,0.10419870833333392,0.8376818469823498,0.8376818469823498
0.3,selection,岩溶水2,LSTM,0.15969473585196786,0.10857802304178842,0.8684312565611926,0.8684312565611926
0.3,selection,岩溶水2,Transformer,0.15483941678428748,0.09965047288210868,0.8763100027458529,0.8763100027458529
0.3,selection,岩溶水2,TCN,0.1671495396665426,0.11636718571970471,0.8558608701528181,0.8558608701528181
0.3,selection,岩溶水2,Stacking,0.17720116147698436,0.11827180021767608,0.8380038644297948,0.8380038644297948
0.3,selection,岩溶水3,Persistence,0.1059638303070127,0.06716666666666811,0.9186810066112293,0.9186810066112293
0.3,selection,岩溶水3,LSTM,0.08829427676930761,0.04977473633686979,0.9435398790482085,0.9435398790482085
0.3,selection,岩溶水3,Transformer,0.0895250467461633,0.05016247578143122,0.9419548670852681,0.9419548670852681
0.3,selection,岩溶水3,TCN,0.10112696826892706,0.06359232606705234,0.9259354016275343,0.9259354016275343
0.3,selection,岩溶水3,Stacking,0.09420588845091125,0.05448429368085002,0.935726374708345,0.935726374708345
0.3,selection,孔隙水1,Persistence,0.07395913941865573,0.04582871930670009,0.935223848241917,0.935223848241917
0.3,selection,孔隙水1,LSTM,0.07926107984920747,0.0502886596702392,0.9256036866069833,0.9256036866069833
0.3,selection,孔隙水1,Transformer,0.07124967152748454,0.04464707609611344,0.9398830168098218,0.9398830168098218
0.3,selection,孔隙水1,TCN,0.09402621961913687,0.06220253442911747,0.8953041670882305,0.8953041670882305
0.3,selection,孔隙水1,Stacking,0.07697998261483091,0.04790672539690656,0.9298242499929915,0.9298242499929915
0.3,selection,孔隙水2,Persistence,0.32773051683763715,0.23937499999999853,0.9075485006670239,0.9075485006670239
0.3,selection,孔隙水2,LSTM,0.295200252694478,0.21553554901723995,0.9249909538510891,0.9249909538510891
0.3,selection,孔隙水2,Transformer,0.29192516367552557,0.2174347902856996,0.9266460917495641,0.9266460917495641
0.3,selection,孔隙水2,TCN,0.32047333291847785,0.24298487443518296,0.9115976139619001,0.9115976139619001
0.3,selection,孔隙水2,Stacking,0.3167236268385477,0.23814450162953094,0.9136542200397595,0.9136542200397595
0.3,selection,孔隙水3,Persistence,0.16663082948042182,0.08116666666666662,0.939812691184438,0.939812691184438
