split,well,seed,scenario_id,aquifer,model_a,model_b,p_a_better_than_b,p_b_better_than_a,a_win_rate,b_win_rate,tie_rate,dominates,dominance_label,loss
test,裂隙水3,,裂隙水3,裂隙水3,LSTM,DynamicGatedStacking,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,裂隙水3,,裂隙水3,裂隙水3,DynamicGatedStacking,LSTM,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,裂隙水3,,裂隙水3,裂隙水3,Transformer,TCN,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,裂隙水3,,裂隙水3,裂隙水3,TCN,Transformer,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,裂隙水3,,裂隙水3,裂隙水3,Transformer,DynamicGatedStacking,0.8224,0.1776,0.8224,0.1776,0.0,False,trend,squared
test,裂隙水3,,裂隙水3,裂隙水3,DynamicGatedStacking,Transformer,0.1776,0.8224,0.1776,0.8224,0.0,False,unstable,squared
test,裂隙水3,,裂隙水3,裂隙水3,TCN,DynamicGatedStacking,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,裂隙水3,,裂隙水3,裂隙水3,DynamicGatedStacking,TCN,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,裂隙水4,,裂隙水4,裂隙水4,LSTM,Transformer,0.7522,0.2478,0.7522,0.2478,0.0,False,trend,squared
test,裂隙水4,,裂隙水4,裂隙水4,Transformer,LSTM,0.2478,0.7522,0.2478,0.7522,0.0,False,unstable,squared
test,裂隙水4,,裂隙水4,裂隙水4,LSTM,TCN,0.8702,0.1298,0.8702,0.1298,0.0,False,trend,squared
test,裂隙水4,,裂隙水4,裂隙水4,TCN,LSTM,0.1298,0.8702,0.1298,0.8702,0.0,False,unstable,squared
test,裂隙水4,,裂隙水4,裂隙水4,LSTM,DynamicGatedStacking,0.1914,0.8086,0.1914,0.8086,0.0,False,unstable,squared
test,裂隙水4,,裂隙水4,裂隙水4,DynamicGatedStacking,LSTM,0.8086,0.1914,0.8086,0.1914,0.0,False,trend,squared
test,裂隙水4,,裂隙水4,裂隙水4,Transformer,TCN,0.842,0.158,0.842,0.158,0.0,False,trend,squared
test,裂隙水4,,裂隙水4,裂隙水4,TCN,Transformer,0.158,0.842,0.158,0.842,0.0,False,unstable,squared
test,裂隙水4,,裂隙水4,裂隙水4,Transformer,DynamicGatedStacking,0.0002,0.9998,0.0002,0.9998,0.0,False,unstable,squared
test,裂隙水4,,裂隙水4,裂隙水4,DynamicGatedStacking,Transformer,0.9998,0.0002,0.9998,0.0002,0.0,True,reproducible,squared
test,裂隙水4,,裂隙水4,裂隙水4,TCN,DynamicGatedStacking,0.0076,0.9924,0.0076,0.9924,0.0,False,unstable,squared
test,裂隙水4,,裂隙水4,裂隙水4,DynamicGatedStacking,TCN,0.9924,0.0076,0.9924,0.0076,0.0,True,reproducible,squared
test,裂隙水5,,裂隙水5,裂隙水5,LSTM,Transformer,0.2682,0.7318,0.2682,0.7318,0.0,False,unstable,squared
test,裂隙水5,,裂隙水5,裂隙水5,Transformer,LSTM,0.7318,0.2682,0.7318,0.2682,0.0,False,trend,squared
test,裂隙水5,,裂隙水5,裂隙水5,LSTM,TCN,0.7122,0.2878,0.7122,0.2878,0.0,False,trend,squared
test,裂隙水5,,裂隙水5,裂隙水5,TCN,LSTM,0.2878,0.7122,0.2878,0.7122,0.0,False,unstable,squared
test,裂隙水5,,裂隙水5,裂隙水5,LSTM,DynamicGatedStacking,0.129,0.871,0.129,0.871,0.0,False,unstable,squared
test,裂隙水5,,裂隙水5,裂隙水5,DynamicGatedStacking,LSTM,0.871,0.129,0.871,0.129,0.0,False,trend,squared
test,裂隙水5,,裂隙水5,裂隙水5,Transformer,TCN,0.8778,0.1222,0.8778,0.1222,0.0,False,trend,squared
test,裂隙水5,,裂隙水5,裂隙水5,TCN,Transformer,0.1222,0.8778,0.1222,0.8778,0.0,False,unstable,squared
test,裂隙水5,,裂隙水5,裂隙水5,Transformer,DynamicGatedStacking,0.1744,0.8256,0.1744,0.8256,0.0,False,unstable,squared
test,裂隙水5,,裂隙水5,裂隙水5,DynamicGatedStacking,Transformer,0.8256,0.1744,0.8256,0.1744,0.0,False,trend,squared
test,裂隙水5,,裂隙水5,裂隙水5,TCN,DynamicGatedStacking,0.009,0.991,0.009,0.991,0.0,False,unstable,squared
test,裂隙水5,,裂隙水5,裂隙水5,DynamicGatedStacking,TCN,0.991,0.009,0.991,0.009,0.0,True,reproducible,squared
