lookback,split,well,model,RMSE,MAE,R2,NSE
38,selection,裂隙水2,TCN,0.07522822276366652,0.052932541648906484,0.956772696263411,0.956772696263411
38,selection,裂隙水2,Stacking,0.06391351264714751,0.03885960278893256,0.9687980370113376,0.9687980370113376
38,selection,裂隙水3,Persistence,0.124713116168821,0.09004201680672236,0.9599826571828389,0.9599826571828389
38,selection,裂隙水3,LSTM,0.12829368186276344,0.09049922939999605,0.9576518420851209,0.9576518420851209
38,selection,裂隙水3,Transformer,0.10436820844765288,0.07248779605832328,0.9719740435376542,0.9719740435376542
38,selection,裂隙水3,TCN,0.14480247555045692,0.10612911973906711,0.9460519241848041,0.9460519241848041
38,selection,裂隙水3,Stacking,0.12295935658179077,0.08740173446706252,0.9611002195892583,0.9611002195892583
38,selection,岩溶水1,Persistence,0.8710174105378614,0.4118120588235302,0.883024464060845,0.883024464060845
38,selection,岩溶水1,LSTM,0.7969478482267174,0.3866227038542923,0.902073287240629,0.902073287240629
38,selection,岩溶水1,Transformer,0.8417806849193105,0.4175476609983253,0.8907455124599418,0.8907455124599418
38,selection,岩溶水1,TCN,0.860579215382712,0.4342328697812495,0.8858113135529807,0.8858113135529807
38,selection,岩溶水1,Stacking,0.8356713441914461,0.4243711157134042,0.8923256170252901,0.8923256170252901
38,selection,岩溶水2,Persistence,0.17812951329020962,0.10495277310924427,0.8383648523520146,0.8383648523520146
38,selection,岩溶水2,LSTM,0.15763381780986854,0.10431933874091429,0.8734206591253377,0.8734206591253377
38,selection,岩溶水2,Transformer,0.15727852477073337,0.09958775537815459,0.8739906139354695,0.8739906139354695
38,selection,岩溶水2,TCN,0.15889033061437857,0.11314227500681223,0.8713946667368659,0.8713946667368659
38,selection,岩溶水2,Stacking,0.18073407698009816,0.12030258297997708,0.8336035208335464,0.8336035208335464
38,selection,岩溶水3,Persistence,0.12333014286830353,0.07384390756302675,0.9035883869398262,0.9035883869398262
38,selection,岩溶水3,LSTM,0.10960360204911593,0.05554899895561278,0.9238551502143638,0.9238551502143638
38,selection,岩溶水3,Transformer,0.10678225054275223,0.05993526866839023,0.927724847031512,0.927724847031512
38,selection,岩溶水3,TCN,0.12171410768916535,0.06819270574561212,0.9060984591047009,0.9060984591047009
38,selection,岩溶水3,Stacking,0.10937422254431214,0.06031497834232129,0.92417353010391,0.92417353010391
38,selection,孔隙水1,Persistence,0.07402699464621726,0.045625599300874044,0.9389782746377965,0.9389782746377965
38,selection,孔隙水1,LSTM,0.07905015992024221,0.050055283367001616,0.9304159420122211,0.9304159420122211
38,selection,孔隙水1,Transformer,0.06925736518207697,0.040955635096037425,0.9465883275381238,0.9465883275381238
38,selection,孔隙水1,TCN,0.09588950831391332,0.06321123732855806,0.8976126199881773,0.8976126199881773
38,selection,孔隙水1,Stacking,0.0772768176665274,0.047147504762369195,0.9335029001501424,0.9335029001501424
38,selection,孔隙水2,Persistence,0.32822767001175046,0.2390336134453764,0.9066404924175759,0.9066404924175759
38,selection,孔隙水2,LSTM,0.29579607765680704,0.21656282774739136,0.9241783913367616,0.9241783913367616
38,selection,孔隙水2,Transformer,0.297078702475955,0.22312471998686578,0.9235194135297797,0.9235194135297797
38,selection,孔隙水2,TCN,0.3108950800489241,0.23854766303909394,0.9162401537682486,0.9162401537682486
38,selection,孔隙水2,Stacking,0.29597718829899655,0.22667323896489974,0.9240855144852144,0.9240855144852144
38,selection,孔隙水3,Persistence,0.17648886459981314,0.08651260504201676,0.9336427430863314,0.9336427430863314
38,selection,孔隙水3,LSTM,0.1872009459602415,0.07949398063418886,0.9253431117326676,0.9253431117326676
38,selection,孔隙水3,Transformer,0.20123652777920964,0.08092562868329903,0.9137284825806485,0.9137284825806485
38,selection,孔隙水3,TCN,0.2113425889212551,0.1089855005708696,0.9048458240009476,0.9048458240009476
38,selection,孔隙水3,Stacking,0.19164137643931142,0.08861242012715845,0.9217593644909501,0.9217593644909501
44,selection,裂隙水1,Persistence,0.18694469590691992,0.1265126050420164,0.9706676788594171,0.9706676788594171
44,selection,裂隙水1,LSTM,0.15993703019681324,0.11358548234134563,0.9785306848574142,0.9785306848574142
44,selection,裂隙水1,Transformer,0.14853523810167651,0.09793582576850046,0.9814826374631971,0.9814826374631971
44,selection,裂隙水1,TCN,0.23536013025670474,0.1763724195828066,0.9535071758829775,0.9535071758829775
44,selection,裂隙水1,Stacking,0.18928292157748172,0.14444511574958,0.9699293374395213,0.9699293374395213
